,A,B,C,D,E,F
0,44824.41002519802,59729.03882022897,52814.3022557845,39851.398342603105,51640.66764410497,55944.43685681127
1,49447.42331971279,43067.22955834857,45886.59066768933,68807.67394956018,52180.35016855896,69004.21354357662
2,38990.744148232734,45522.538305498085,62396.77208997468,46475.75868020721,53317.0029176312,76817.65933395336
3,45387.82127298611,57125.47359271489,39709.308912686254,51866.90354818535,55061.77283006232,65338.986982314476
4,66698.721551046,43480.42962221416,55996.38102675204,43358.02902631231,43311.52030919405,64290.58005528287
5,43467.50695010228,36723.70496430168,32708.665714230447,55432.52758351671,45989.075603491576,54304.511825018795
6,51105.063584770505,56420.522510308976,46839.373451110216,24737.042025390852,37643.54366599661,54628.77990469419
7,55118.27998494049,62059.553324917324,53169.331564132895,53291.399578997574,53713.156477128934,71579.41620997817
8,51737.179573393696,45290.16287672702,47825.54628154472,59586.08617923193,62277.87268892346,56659.114812312335
9,68224.05801260896,58647.14262726219,38704.76579599806,39702.31239565135,44188.06538986577,58825.61472579505
10,57384.92763494,44737.598212852026,41213.43440305156,53989.339826894255,57080.78891169239,58521.28612398244
11,51271.45189343676,54135.009319208526,60785.713295415095,44133.81839409357,53228.87071222683,42505.219712852755
12,53023.3823048439,57508.72457654596,49100.95024824212,58805.95017905343,44829.95401812504,59781.43059159428
13,65863.9445060856,43927.63458782145,51825.16744805692,53254.75099233508,64382.73181045837,41209.14449452737
14,44142.98435475418,42292.95929719037,53248.73913879462,35892.72783291917,54977.49780847173,46658.6880077229
15,45956.77514683132,39663.9726783124,50925.880435632156,53698.62280615582,45073.2909785742,63279.255876042356
16,35154.48034763677,65762.31076806635,66087.914808882,57745.23728689427,75094.21168432268,62818.088535079885
17,42275.565014563166,51946.49257705013,33443.768529622015,73522.05011648423,54855.658629899684,67243.46941536835
18,43782.909993850095,56392.82223572445,68972.49398275268,61118.21636749984,27693.003278239492,49107.9907275025
19,60367.95168425816,50186.617090548,61784.45484201892,66511.86693400152,42801.2528462499,62052.50930907824
20,56928.65065547892,70451.02040041283,58204.656356117215,36337.98855067871,43684.14957588398,56245.333808851836
21,46345.37999646081,62788.77863050929,48510.89908932402,45284.756262624316,23425.849338093652,46058.043060317206
22,51077.096094417444,38240.72732368394,32372.754882883368,68135.91818724113,62524.876755356614,52484.382666158956
